step,train_loss,test_loss,train_acc,test_acc,restricted_loss,excluded_loss,hill,moment,gpd,k,n,median_deviation
16600,2.80469e-07,9.85157,1,0.340754,3.60583,17.0526,0.0471541,-0.0928875,-0.0933741,638,12769,528.303
16700,0.000383874,6.48628,1,0.344446,2.39235,11.3327,0.049383,-0.103713,-0.104428,638,12769,349.729
16800,0.00333272,4.4765,1,0.349368,1.82119,8.02307,0.0469539,-0.0309411,-0.0426696,638,12769,248.402
16900,0.00180512,4.58819,1,0.358989,1.75587,8.66218,0.0491148,-0.0275345,-0.0375091,638,12769,255.208
17000,0.000678827,4.89482,1,0.368386,1.76236,9.7283,0.0493577,-0.00413672,-0.0121736,638,12769,268.499
17100,0.000245288,5.19543,1,0.377447,1.77883,10.8841,0.050097,-0.00170369,-0.00815481,638,12769,277.791
17200,8.75276e-05,5.45353,1,0.387739,1.78883,12.0963,0.0499069,0.00896473,0.00412534,638,12769,282.605
17300,3.12331e-05,5.65762,1,0.398031,1.78494,13.3406,0.0505904,-0.000364503,-0.00460439,638,12769,284.472
17400,1.13018e-05,5.79258,1,0.408771,1.7609,14.5881,0.0503965,0.00771637,0.00356449,638,12769,284.039
17500,4.23372e-06,5.83972,1,0.422419,1.70819,15.8,0.0513041,-0.0095882,-0.0133432,638,12769,282.641
17600,1.71515e-06,5.77922,1,0.439646,1.622,16.8783,0.0516181,-0.0132391,-0.0174116,638,12769,282.532
17700,7.96056e-07,5.58385,1,0.459783,1.49903,17.6669,0.0524556,-0.0336481,-0.035406,638,12769,290.523
17800,4.38211e-07,5.27393,1,0.480591,1.34465,18.0378,0.0538583,-0.0608947,-0.0574063,638,12769,321.579
17900,2.81309e-07,4.8755,1,0.500615,1.16252,17.9181,0.0558487,-0.119248,-0.106637,638,12769,399.026
18000,3.22301e-07,4.45691,1,0.524555,0.996949,17.641,0.0531181,-0.128594,-0.125999,638,12769,530.49
18100,0.000932724,3.30009,1,0.543461,0.920936,13.4205,0.0515386,-0.027007,-0.0326874,638,12769,447.042
18200,0.00271472,1.77097,1,0.581832,0.505492,8.09931,0.0515862,-0.0426896,-0.0515604,638,12769,276.886
18300,0.00415553,1.48222,1,0.613268,0.40419,7.78435,0.0486282,-0.0679209,-0.0742053,638,12769,255.468
18400,0.00158552,1.20563,1,0.680501,0.25262,8.62564,0.0477563,-0.0567249,-0.0655396,638,12769,279.519
18500,0.000551441,0.877847,1,0.754111,0.131979,9.4773,0.0462803,-0.0316836,-0.0420031,638,12769,298.512
18600,0.000187529,0.568945,1,0.835552,0.0594784,10.292,0.0481284,-0.1027,-0.0939817,638,12769,311.297
18700,6.3321e-05,0.339866,1,0.898087,0.0260689,11.0397,0.0468963,-0.116545,-0.0998737,638,12769,319.216
18800,2.1514e-05,0.193487,1,0.941492,0.0133343,11.6803,0.0466688,-0.15023,-0.1175,638,12769,324.074
18900,7.40463e-06,0.104447,1,0.968005,0.00817857,12.1388,0.0452264,-0.155311,-0.126328,638,12769,326.344
19000,2.6489e-06,0.0531355,1,0.981653,0.00337566,10.7484,0.0420806,-0.147196,-0.129648,638,12769,326.809
19100,1.03864e-06,0.0239918,1,0.991162,0.00140802,10.7257,0.039436,-0.154452,-0.142338,638,12769,325.148
19200,4.77459e-07,0.0103029,1,0.99642,0.000737955,10.4624,0.0371241,-0.146297,-0.157491,638,12769,325.335
19300,2.66462e-07,0.00449265,1,0.998881,0.000499254,10.0191,0.0376755,-0.24449,-0.235635,638,12769,340.664
19400,1.67982e-07,0.00219603,1,0.999105,5.21389e-05,8.69792,0.038281,-0.298879,-0.281561,638,12769,392.625
19500,1.08222e-07,0.00143543,1,0.999441,1.12721e-05,8.47951,0.0362356,-0.202871,-0.217926,638,12769,544.714
19600,8.99012e-05,0.00324226,1,0.998993,0.000530933,7.53524,0.0385393,-0.211524,-0.232124,638,12769,462.226
19700,0.000836559,0.00373284,1,1,0.00142457,5.69165,0.0363728,-0.148771,-0.198519,638,12769,295.996
19800,0.000635782,0.0030274,1,0.999776,0.00100727,5.59468,0.0366975,-0.182518,-0.223625,638,12769,280.417
19900,0.000221867,0.00129505,1,1,0.000364936,5.68314,0.0364543,-0.151176,-0.182271,638,12769,286.482
20000,7.54067e-05,0.000545255,1,1,0.000132004,5.75615,0.0359265,-0.140307,-0.164008,638,12769,289.18
