step,train_loss,test_loss,train_acc,test_acc,restricted_loss,excluded_loss,hill,moment,gpd,k,n,median_deviation
6900,4.96882e-07,23.4261,1,0.252377,11.3563,15.5221,0.0744434,-0.129124,-0.14356,638,12769,427.783
7000,0.0034955,22.6446,1,0.219152,12.0304,14.5553,0.0694277,-0.120535,-0.139899,638,12769,355.176
7100,0.00201385,12.9796,1,0.250923,6.86751,8.76727,0.0654485,-0.130178,-0.144849,638,12769,208.244
7200,0.00445483,11.5099,1,0.252153,6.29878,7.89729,0.0627126,-0.140372,-0.164198,638,12769,186.237
7300,0.00176576,12.8512,1,0.251594,6.88367,8.95465,0.0593184,-0.126005,-0.160011,638,12769,192.879
7400,0.000656675,14.2787,1,0.25137,7.529,10.1062,0.0560999,-0.118919,-0.155196,638,12769,198.147
7500,0.000239203,15.7308,1,0.251035,8.19869,11.2851,0.0536706,-0.121406,-0.155893,638,12769,200.978
7600,8.6747e-05,17.1846,1,0.251147,8.87641,12.467,0.0519847,-0.129664,-0.161269,638,12769,202.001
7700,3.15495e-05,18.621,1,0.250923,9.55119,13.6298,0.0498741,-0.131257,-0.160055,638,12769,202.421
7800,1.16643e-05,20.01,1,0.250364,10.208,14.7412,0.0457293,-0.0907001,-0.120804,638,12769,203.404
7900,4.48733e-06,21.3007,1,0.250475,10.8169,15.7473,0.0427958,-0.0868214,-0.112672,638,12769,208.102
8000,1.86334e-06,22.4235,1,0.249916,11.3388,16.5757,0.041864,-0.121553,-0.144463,638,12769,216.798
8100,8.86537e-07,23.2614,1,0.25014,11.7086,17.084,0.0408827,-0.124487,-0.155754,638,12769,225.752
8200,5.1067e-07,23.7042,1,0.250252,11.8455,17.1407,0.0420465,-0.17339,-0.196529,638,12769,249.983
8300,3.71977e-07,23.7758,1,0.251259,11.7422,16.7795,0.0417475,-0.145915,-0.164956,638,12769,305.035
8400,3.68553e-07,23.5783,1,0.248574,11.4969,16.2671,0.0424158,-0.123442,-0.142086,638,12769,396.191
8500,4.32422e-07,23.2692,1,0.249804,11.2802,15.8918,0.0452235,-0.143966,-0.155639,638,12769,469.15
8600,4.675e-07,22.9946,1,0.249245,11.1523,15.6346,0.0467175,-0.131147,-0.150854,638,12769,496.812
8700,1.8005,26.9758,0.69765,0.147556,17.2486,15.1982,0.0456055,-0.123596,-0.145401,638,12769,483.109
8800,0.00256431,12.7978,1,0.246113,6.74533,8.86641,0.0441751,-0.164014,-0.228613,638,12769,236.918
8900,0.0190064,9.36162,1,0.251035,5.44069,6.63085,0.0420987,-0.168394,-0.21412,638,12769,181.165
9000,0.0100291,10.1355,1,0.250587,5.7012,7.1518,0.041611,-0.0944679,-0.12751,638,12769,196.054
9100,0.00384359,11.3291,1,0.25137,6.14815,7.98446,0.0415667,-0.0677477,-0.0988808,638,12769,212.294
9200,0.00141844,12.5852,1,0.252265,6.64719,8.89357,0.0423632,-0.0692304,-0.0994496,638,12769,224.375
9300,0.000514996,13.875,1,0.252153,7.18089,9.84971,0.0417531,-0.0360817,-0.0645628,638,12769,232.423
9400,0.000185829,15.1785,1,0.252489,7.73685,10.8261,0.0415323,-0.0164202,-0.0396333,638,12769,236.364
9500,6.70292e-05,16.4819,1,0.253048,8.30684,11.806,0.0424596,-0.0255266,-0.0495227,638,12769,237.614
9600,2.43881e-05,17.769,1,0.252825,8.87774,12.7776,0.0434801,-0.0383675,-0.0629243,638,12769,237.542
9700,9.06735e-06,19.0035,1,0.254055,9.43165,13.7132,0.0441589,-0.0485391,-0.0729104,638,12769,238.39
9800,3.54832e-06,20.1503,1,0.253832,9.98688,14.6154,0.0445225,-0.0543302,-0.0784423,638,12769,243.567
9900,1.51517e-06,21.1538,1,0.252713,10.4384,15.3583,0.04411,-0.04657,-0.0708281,638,12769,251.664
10000,7.51298e-07,21.9073,1,0.252601,10.7683,15.8761,0.0438087,-0.0453517,-0.0706523,638,12769,263.523
10100,4.50785e-07,22.3541,1,0.251818,10.9334,16.0757,0.0439483,-0.0587429,-0.0828913,638,12769,298.594
10200,3.49535e-07,22.5162,1,0.25014,10.9144,15.951,0.0435391,-0.0907908,-0.114178,638,12769,386.648
10300,3.92737e-07,22.3365,1,0.249133,10.7583,15.6587,0.0442194,-0.0778275,-0.111,638,12769,491.164
10400,4.36063e-07,22.0938,1,0.248686,10.6226,15.4357,0.0466528,-0.0802759,-0.117971,638,12769,557.204
10500,4.77211e-07,21.8446,1,0.25014,10.5087,15.2479,0.0487502,-0.0867142,-0.123155,638,12769,575.719
10600,0.000979791,18.3385,1,0.232129,9.42713,12.7059,0.0436321,-0.143272,-0.153747,638,12769,405.686
10700,0.00455739,10.7587,1,0.251482,5.82638,7.72967,0.041878,-0.119269,-0.144682,638,12769,254.633
10800,0.00800365,9.8371,1,0.252042,5.47292,7.13005,0.0419426,-0.106927,-0.126296,638,12769,238.263
10900,0.00319388,10.9317,1,0.252937,5.87586,7.91479,0.0435279,-0.131662,-0.138544,638,12769,258.053
11000,0.00119803,12.1166,1,0.25193,6.34748,8.80008,0.0437102,-0.124563,-0.132719,638,12769,273.303
11100,0.000439063,13.3377,1,0.25316,6.85752,9.74053,0.043703,-0.117821,-0.128702,638,12769,283.324
11200,0.000159461,14.5711,1,0.253048,7.38922,10.7104,0.0438361,-0.119003,-0.129669,638,12769,288.464
11300,5.78384e-05,15.8065,1,0.253272,7.93129,11.6948,0.0439482,-0.117647,-0.128332,638,12769,289.728
11400,2.11373e-05,17.0254,1,0.254279,8.47269,12.6739,0.044081,-0.118609,-0.128715,638,12769,289.076
11500,7.91387e-06,18.1947,1,0.253832,8.99837,13.6185,0.0443493,-0.128641,-0.135022,638,12769,289.735
11600,3.1258e-06,19.2733,1,0.253496,9.4858,14.4928,0.0436117,-0.108998,-0.122808,638,12769,297.055
11700,1.36101e-06,20.1995,1,0.254055,9.89843,15.2367,0.0422706,-0.0763828,-0.0981824,638,12769,306.363
11800,6.87928e-07,20.8732,1,0.253048,10.1945,15.7582,0.0430036,-0.100988,-0.112823,638,12769,324.211
11900,4.23271e-07,21.2692,1,0.253496,10.3296,15.9668,0.0425751,-0.0922163,-0.102061,638,12769,370.512
12000,3.44773e-07,21.3527,1,0.252042,10.2632,15.7741,0.0445945,-0.133422,-0.122396,638,12769,452.436
12100,3.90838e-07,21.1443,1,0.249916,10.1031,15.4489,0.0450688,-0.092449,-0.0980172,638,12769,556.02
12200,0.000455018,16.3038,1,0.241414,8.14404,11.9963,0.0406903,-0.121506,-0.143214,638,12769,399.008
12300,0.0057163,9.90164,1,0.254279,5.38995,7.47035,0.0405598,-0.132798,-0.140463,638,12769,256.994
12400,0.00667544,9.59577,1,0.254838,5.27024,7.30441,0.041528,-0.135916,-0.12226,638,12769,248.061
12500,0.00262876,10.7065,1,0.255174,5.70104,8.20879,0.041565,-0.128964,-0.115141,638,12769,265.501
12600,0.000980105,11.8949,1,0.256628,6.18895,9.21336,0.0411741,-0.120874,-0.109922,638,12769,279.025
12700,0.000357676,13.1073,1,0.256293,6.70363,10.2631,0.0417081,-0.150631,-0.124615,638,12769,287.396
12800,0.000129429,14.3263,1,0.256405,7.22946,11.3297,0.0405379,-0.129709,-0.113928,638,12769,290.864
12900,4.68185e-05,15.5353,1,0.255621,7.75703,12.3968,0.0398222,-0.122807,-0.109748,638,12769,290.89
13000,1.71132e-05,16.7139,1,0.25495,8.2773,13.447,0.0395637,-0.127679,-0.112501,638,12769,289.267
13100,6.43478e-06,17.8278,1,0.256069,8.76799,14.4403,0.039243,-0.130991,-0.115844,638,12769,289.216
13200,2.57155e-06,18.8272,1,0.256069,9.20612,15.3305,0.0388622,-0.137824,-0.120845,638,12769,294.169
13300,1.14568e-06,19.6392,1,0.256405,9.5531,16.0333,0.038671,-0.142103,-0.119637,638,12769,299.856
13400,5.9975e-07,20.1723,1,0.256181,9.75995,16.4246,0.0383187,-0.128971,-0.112465,638,12769,318.166
13500,3.82746e-07,20.3808,1,0.25495,9.76855,16.3708,0.0404645,-0.167137,-0.126241,638,12769,372.985
13600,3.37926e-07,20.2482,1,0.254391,9.56668,15.8907,0.0420238,-0.139975,-0.118392,638,12769,487.163
13700,0.00185014,18.1824,1,0.226088,9.24228,13.9429,0.0408883,-0.195148,-0.156972,638,12769,454.912
13800,0.00248566,10.4241,1,0.256964,5.4289,8.33503,0.0393776,-0.16924,-0.145897,638,12769,277.085
13900,0.00469601,9.31983,1,0.257635,4.98626,7.55828,0.0379926,-0.144486,-0.113112,638,12769,247.187
14000,0.00186261,10.2998,1,0.258642,5.3656,8.46251,0.0367698,-0.0977374,-0.0873099,638,12769,261.208
14100,0.000693467,11.3625,1,0.26032,5.80177,9.49738,0.0370885,-0.0995383,-0.0888102,638,12769,271.9
14200,0.000252659,12.4425,1,0.261662,6.255,10.5837,0.0372186,-0.0917516,-0.0850508,638,12769,278.209
14300,9.1298e-05,13.5143,1,0.262781,6.70944,11.6871,0.0370456,-0.0793056,-0.0777914,638,12769,280.19
14400,3.30772e-05,14.5648,1,0.262557,7.15607,12.7838,0.0374219,-0.0888428,-0.0846767,638,12769,279.464
14500,1.215e-05,15.567,1,0.261998,7.58203,13.8483,0.0377918,-0.0957305,-0.0896843,638,12769,278.06
14600,4.63088e-06,16.4888,1,0.262893,7.9674,14.8431,0.0377823,-0.0875339,-0.0853396,638,12769,279.233
14700,1.89947e-06,17.282,1,0.263005,8.28863,15.7157,0.0377213,-0.0795956,-0.0788275,638,12769,284.631
14800,8.82895e-07,17.8751,1,0.263229,8.51287,16.3576,0.0371729,-0.0563664,-0.0598116,638,12769,294.327
14900,4.90688e-07,18.1921,1,0.262222,8.58842,16.6026,0.0375658,-0.0360877,-0.036573,638,12769,319.848
15000,3.35934e-07,18.2035,1,0.261662,8.45508,16.332,0.0399538,-0.0168502,-0.0181862,638,12769,393.677
15100,3.54546e-07,17.9444,1,0.260879,8.19651,15.7609,0.0441829,-0.0348524,-0.0324939,638,12769,530.197
15200,0.000340312,13.3763,1,0.256516,6.38351,11.9219,0.0418751,-0.0963052,-0.0892002,638,12769,393.025
15300,0.00468337,8.32118,1,0.267256,4.33745,7.56001,0.0409537,-0.0796805,-0.0770389,638,12769,256.832
15400,0.00410439,8.18288,1,0.268822,4.21796,7.52611,0.0404668,-0.0691802,-0.0634779,638,12769,252.117
15500,0.00159502,8.91923,1,0.270836,4.42796,8.29458,0.0408866,-0.088663,-0.081323,638,12769,267.644
15600,0.000591541,9.72485,1,0.271731,4.6921,9.16867,0.0405407,-0.0825964,-0.0825245,638,12769,279.245
15700,0.000215264,10.5455,1,0.273185,4.97728,10.1053,0.0413588,-0.106084,-0.103323,638,12769,286.136
15800,7.78648e-05,11.3599,1,0.274863,5.26885,11.0735,0.0418382,-0.118543,-0.116479,638,12769,288.539
15900,2.82689e-05,12.1527,1,0.276541,5.56033,12.0533,0.0415976,-0.110648,-0.117611,638,12769,288.263
16000,1.04367e-05,12.9041,1,0.277324,5.78591,12.9283,0.0426653,-0.145355,-0.144089,638,12769,287.377
16100,4.00965e-06,13.591,1,0.278219,6.02915,13.8432,0.0416986,-0.119798,-0.13535,638,12769,289.196
16200,1.66622e-06,14.1663,1,0.279002,6.22544,14.6603,0.0419681,-0.135163,-0.148613,638,12769,293.346
16300,7.90516e-07,14.5732,1,0.280456,6.35194,15.282,0.0412548,-0.130627,-0.145701,638,12769,299.887
16400,4.48856e-07,14.781,1,0.280904,6.38802,15.6054,0.0412497,-0.149306,-0.146614,638,12769,331.549
16500,3.15422e-07,14.8029,1,0.28068,6.3088,15.5258,0.0411871,-0.148852,-0.133291,638,12769,410.315
