step,train_loss,test_loss,train_acc,test_acc,restricted_loss,excluded_loss,hill,moment,gpd,k,n,median_deviation
14600,2.90335e-07,19.666,1,0.232017,9.37764,14.3187,0.059334,-0.229938,-0.221182,638,12769,120.915
14700,2.89464e-07,19.6112,1,0.232017,9.33992,14.3178,0.0593358,-0.222295,-0.216747,638,12769,124.737
14800,2.90149e-07,19.5558,1,0.231793,9.31142,14.3163,0.0603771,-0.246984,-0.227491,638,12769,129.202
14900,2.89868e-07,19.494,1,0.230675,9.27475,14.3116,0.0597839,-0.22968,-0.220359,638,12769,134.178
15000,2.90304e-07,19.4277,1,0.230898,9.2369,14.3077,0.0599737,-0.229296,-0.220893,638,12769,139.785
15100,2.88872e-07,19.3653,1,0.230675,9.19861,14.3064,0.0607964,-0.236192,-0.2254,638,12769,144.21
15200,2.9046e-07,19.3029,1,0.230451,9.16335,14.3037,0.0613262,-0.225115,-0.218802,638,12769,148.482
15300,2.89775e-07,19.2401,1,0.231122,9.12518,14.3041,0.0618141,-0.21257,-0.208147,638,12769,154.364
15400,2.90149e-07,19.1753,1,0.230339,9.08897,14.302,0.0625785,-0.214444,-0.205661,638,12769,159.867
15500,2.8937e-07,19.1094,1,0.229332,9.05458,14.3046,0.0632065,-0.225568,-0.208482,638,12769,166.629
15600,2.899e-07,19.0412,1,0.228213,9.01466,14.3053,0.062989,-0.22272,-0.202382,638,12769,173.123
15700,2.91051e-07,18.9786,1,0.228325,8.9792,14.3101,0.0618866,-0.191714,-0.183839,638,12769,181.189
15800,2.89246e-07,18.9039,1,0.228437,8.93793,14.3127,0.0630599,-0.203093,-0.185398,638,12769,188.021
15900,2.90989e-07,18.8296,1,0.228549,8.89406,14.3116,0.0647896,-0.222716,-0.188131,638,12769,193.868
16000,2.90304e-07,18.7609,1,0.227878,8.85722,14.3124,0.0652203,-0.2035,-0.173469,638,12769,202.984
16100,2.88779e-07,18.6892,1,0.228102,8.80979,14.3176,0.0669468,-0.198897,-0.168601,638,12769,213.906
16200,2.92545e-07,18.6122,1,0.228773,8.76943,14.3212,0.0689256,-0.184933,-0.159469,638,12769,226.205
16300,2.94039e-07,18.5391,1,0.228437,8.72638,14.3284,0.0721101,-0.175683,-0.150129,638,12769,234.085
16400,2.91923e-07,18.4638,1,0.228213,8.67868,14.3366,0.0757832,-0.161901,-0.142324,638,12769,242.845
16500,2.94133e-07,18.3765,1,0.228549,8.63032,14.3362,0.0792721,-0.143194,-0.136624,638,12769,243.595
16600,2.96405e-07,18.2806,1,0.228213,8.57298,14.3424,0.0851886,-0.140961,-0.145777,638,12769,244.374
16700,2.94506e-07,18.2024,1,0.227542,8.52456,14.3531,0.090725,-0.146758,-0.161803,638,12769,242.116
16800,2.93261e-07,18.1092,1,0.227095,8.46975,14.3539,0.0957311,-0.163406,-0.182239,638,12769,241.096
16900,2.94817e-07,18.011,1,0.227095,8.41453,14.3535,0.0997952,-0.155668,-0.193363,638,12769,239.927
17000,2.93043e-07,17.9289,1,0.227878,8.36344,14.362,0.102396,-0.147487,-0.197192,638,12769,243.916
17100,2.94288e-07,17.8248,1,0.226871,8.29706,14.3618,0.106503,-0.147847,-0.208463,638,12769,241.031
17200,2.92856e-07,17.7213,1,0.226759,8.23882,14.3596,0.109834,-0.16918,-0.230087,638,12769,243.213
17300,2.93386e-07,17.6044,1,0.227654,8.1689,14.3531,0.112631,-0.181877,-0.246591,638,12769,244.389
17400,2.92856e-07,17.5033,1,0.227878,8.11281,14.3519,0.11495,-0.189236,-0.254601,638,12769,245.687
17500,2.95004e-07,17.3827,1,0.228549,8.03889,14.3475,0.11722,-0.192592,-0.26143,638,12769,245.887
17600,2.93759e-07,17.267,1,0.228549,7.97018,14.3441,0.119622,-0.210811,-0.273842,638,12769,240.002
17700,2.92109e-07,17.1553,1,0.227654,7.90501,14.3459,0.118259,-0.188744,-0.269444,638,12769,237.614
17800,2.90055e-07,17.0432,1,0.227542,7.8407,14.3531,0.118307,-0.178101,-0.267579,638,12769,243.057
17900,2.91798e-07,16.9231,1,0.228437,7.77151,14.3549,0.115966,-0.141875,-0.23904,638,12769,250.177
18000,2.90989e-07,16.8096,1,0.228325,7.70793,14.3586,0.120671,-0.177988,-0.243837,638,12769,265.497
18100,2.96342e-07,16.6646,1,0.228997,7.62534,14.3491,0.123998,-0.146187,-0.218353,638,12769,266.203
18200,2.96872e-07,16.5428,1,0.22978,7.55283,14.3541,0.126287,-0.112097,-0.191339,638,12769,266.179
18300,2.95564e-07,16.4085,1,0.230115,7.47854,14.3548,0.127702,-0.112316,-0.183174,638,12769,264.113
18400,2.93043e-07,16.2872,1,0.230451,7.40708,14.3651,0.128996,-0.132266,-0.191474,638,12769,271.204
18500,2.96654e-07,16.1275,1,0.231681,7.11474,14.5178,0.129337,-0.144244,-0.195945,638,12769,270.434
18600,2.93199e-07,15.9911,1,0.231234,7.02528,14.5301,0.13128,-0.157498,-0.205405,638,12769,266.266
18700,2.94164e-07,15.8378,1,0.231681,6.93218,14.5378,0.1317,-0.154738,-0.206441,638,12769,263.32
18800,2.9379e-07,15.6962,1,0.232576,6.84867,14.5415,0.132453,-0.152064,-0.209711,638,12769,261.622
18900,2.94475e-07,15.5474,1,0.232688,6.75472,14.5467,0.136457,-0.154906,-0.220917,638,12769,260.734
